Date,Time,FM(...),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,Alt(m),Sats,Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),GSpd(kmh),Hdg(@),Bat_(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-17,09:05:18.460,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,1024,8,-1024,-3,144,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.6
2020-04-17,09:05:18.960,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,1024,8,-1024,-3,144,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.6
2020-04-17,09:05:19.460,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,2,8,-1024,-3,144,-1024,340,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000005,7.6
2020-04-17,09:05:25.270,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,1024,8,-1024,-3,144,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.5
2020-04-17,09:05:25.760,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,1024,8,-1024,-3,144,-1024,340,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.5
2020-04-17,09:05:26.260,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,5,10,-1024,-3,143,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000005,7.5
2020-04-17,09:05:26.760,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,2,8,-1024,-3,143,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000004,7.5
2020-04-17,09:05:27.260,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,2,10,-11,-3,143,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000404,7.5
2020-04-17,09:05:27.760,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,2,8,740,-3,143,-1024,341,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000404,7.5
2020-04-17,09:05:28.260,0,0,0,0,0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.0,0.0,0,0.0,0.00,0,2,10,735,-3,144,-1024,340,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000404,7.5
